,,Average expenditure per household ($),,,,,,,,,,,,,,,,,,,,,,,,
Geography,Statistic,Lowest quintile,,,,,Second quintile,,,,,Third quintile,,,,,Fourth quintile,,,,,Highest quintile,,,,
Newfoundland and Labrador,"Household expenditures, summary-level categories",2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021
Newfoundland and Labrador,Total expenditure,"26,869",..,"28,590",..,"34,166","44,208",..,"46,828",..,"47,803","62,220",..,"70,096",..,"64,807","99,979",..,"99,461",..,"98,139","163,431",..,"162,002",..,"169,060"
Newfoundland and Labrador,Food expenditures,"4,067",..,"5,158",..,"7,409","6,373",..,"7,618",..,"8,403","7,345",..,"9,568",..,"9,597","10,032",..,"10,812",..,"14,001","12,050",..,"14,001",..,"18,121"
Newfoundland and Labrador,Shelter,"7,483",..,"7,962",..,"8,245","9,791",..,"9,741",..,"11,186","11,733",..,"12,366",..,"13,624","17,238",..,"17,826",..,"16,743","24,934",..,"24,162",..,"23,829"
Newfoundland and Labrador,Household operations,"2,286",..,"2,587",..,"3,593","3,278",..,"3,428",..,"3,556","4,159",..,"4,789",..,"5,317","5,705",..,"6,571",..,"6,540","8,228",..,"7,776",..,"9,786"
Newfoundland and Labrador,Household furnishings and equipment,684,..,555,..,"1,412","1,500",..,"1,315",..,"2,642","1,781",..,"1,901",..,"2,431","2,677",..,"2,825",..,"4,162","3,744",..,"3,397",..,"6,225"
Newfoundland and Labrador,Clothing and accessories,"1,160",..,"1,122",..,618,"2,044",..,"1,932",..,"1,311","2,495",..,"2,876",..,"2,181","3,849",..,"3,509",..,"2,457","6,202",..,"5,300",..,"3,871"
Newfoundland and Labrador,Private transportation,"4,987",..,"3,990",..,"4,928","8,793",..,"8,052",..,"7,517","10,747",..,"12,719",..,"8,484","17,608",..,"14,400",..,"12,741","20,013",..,"17,444",..,"16,247"
Newfoundland and Labrador,Public transportation,342,..,464,..,153,554,..,542,..,165,558,..,786,..,272,"1,084",..,"1,377",..,647,"2,285",..,"2,509",..,997
Newfoundland and Labrador,Health care,"1,090",..,"1,009",..,"1,461","1,814",..,"1,733",..,"2,296","2,500",..,"2,727",..,"2,404","2,832",..,"3,152",..,"2,576","4,032",..,"3,645",..,"3,416"
Newfoundland and Labrador,Personal care,419,..,378,..,622,649,..,782,..,"1,077",960,..,"1,066",..,"1,419","1,343",..,"1,348",..,"1,800","2,458",..,"1,890",..,"2,227"
Newfoundland and Labrador,Recreation,"1,109",..,"1,080",..,"1,340","1,798",..,"2,752",..,"2,019","3,011",..,"3,681",..,"3,230","5,973",..,"4,993",..,"5,383","8,888",..,"8,479",..,"6,581"
Newfoundland and Labrador,Education,F,..,"1,038",..,F,F,..,F,..,F,F,..,238,..,562,"1,097",..,779,..,969,"2,426",..,"1,820",..,"3,039"
Newfoundland and Labrador,Reading materials and other printed matter,56,..,39,..,74,117,..,60,..,100,101,..,114,..,114,119,..,114,..,F,199,..,222,..,228
Newfoundland and Labrador,"Tobacco products, alcoholic beverages and cannabis for non-medical use",..,..,"1,337",..,"1,491",..,..,"1,392",..,"1,110",..,..,"2,102",..,"1,434",..,..,"2,498",..,"2,616",..,..,"2,596",..,"3,601"
