Geography,Statistic,Expenditure,Year,Income Quintile
Newfoundland and Labrador,Food expenditures,4067.0,2017,Lowest
Newfoundland and Labrador,Shelter,7483.0,2017,Lowest
Newfoundland and Labrador,Household operations,2286.0,2017,Lowest
Newfoundland and Labrador,Household furnishings and equipment,684.0,2017,Lowest
Newfoundland and Labrador,Clothing and accessories,1160.0,2017,Lowest
Newfoundland and Labrador,Private transportation,4987.0,2017,Lowest
Newfoundland and Labrador,Public transportation,342.0,2017,Lowest
Newfoundland and Labrador,Health care,1090.0,2017,Lowest
Newfoundland and Labrador,Personal care,419.0,2017,Lowest
Newfoundland and Labrador,Recreation,1109.0,2017,Lowest
Newfoundland and Labrador,Reading materials and other printed matter,56.0,2017,Lowest
Newfoundland and Labrador,Tobacco products and alcoholic beverages (Terminated),705.0,2017,Lowest
Newfoundland and Labrador,Games of chance,92.0,2017,Lowest
Newfoundland and Labrador,Miscellaneous expenditures,567.0,2017,Lowest
Prince Edward Island,Food expenditures,5454.0,2017,Lowest
Prince Edward Island,Shelter,9471.0,2017,Lowest
Prince Edward Island,Household operations,2502.0,2017,Lowest
Prince Edward Island,Household furnishings and equipment,1750.0,2017,Lowest
Prince Edward Island,Clothing and accessories,1665.0,2017,Lowest
Prince Edward Island,Private transportation,5335.0,2017,Lowest
Prince Edward Island,Public transportation,641.0,2017,Lowest
Prince Edward Island,Health care,1249.0,2017,Lowest
Prince Edward Island,Personal care,445.0,2017,Lowest
Prince Edward Island,Recreation,1718.0,2017,Lowest
Prince Edward Island,Reading materials and other printed matter,59.0,2017,Lowest
Prince Edward Island,Miscellaneous expenditures,788.0,2017,Lowest
Nova Scotia,Food expenditures,4393.0,2017,Lowest
Nova Scotia,Shelter,8307.0,2017,Lowest
Nova Scotia,Household operations,2394.0,2017,Lowest
Nova Scotia,Household furnishings and equipment,858.0,2017,Lowest
Nova Scotia,Clothing and accessories,1049.0,2017,Lowest
Nova Scotia,Private transportation,4690.0,2017,Lowest
Nova Scotia,Public transportation,531.0,2017,Lowest
Nova Scotia,Health care,1138.0,2017,Lowest
Nova Scotia,Personal care,511.0,2017,Lowest
Nova Scotia,Recreation,1317.0,2017,Lowest
Nova Scotia,Education,1480.0,2017,Lowest
Nova Scotia,Tobacco products and alcoholic beverages (Terminated),960.0,2017,Lowest
Nova Scotia,Miscellaneous expenditures,579.0,2017,Lowest
New Brunswick,Food expenditures,4474.0,2017,Lowest
New Brunswick,Shelter,7780.0,2017,Lowest
New Brunswick,Household operations,2190.0,2017,Lowest
New Brunswick,Household furnishings and equipment,1005.0,2017,Lowest
New Brunswick,Clothing and accessories,979.0,2017,Lowest
New Brunswick,Private transportation,4667.0,2017,Lowest
New Brunswick,Public transportation,212.0,2017,Lowest
New Brunswick,Health care,1199.0,2017,Lowest
New Brunswick,Personal care,437.0,2017,Lowest
New Brunswick,Recreation,1107.0,2017,Lowest
New Brunswick,Miscellaneous expenditures,699.0,2017,Lowest
Quebec,Food expenditures,4337.0,2017,Lowest
Quebec,Shelter,9436.0,2017,Lowest
Quebec,Household operations,2438.0,2017,Lowest
Quebec,Household furnishings and equipment,575.0,2017,Lowest
Quebec,Clothing and accessories,1141.0,2017,Lowest
Quebec,Private transportation,3869.0,2017,Lowest
Quebec,Public transportation,492.0,2017,Lowest
Quebec,Health care,1140.0,2017,Lowest
Quebec,Personal care,452.0,2017,Lowest
Quebec,Recreation,1723.0,2017,Lowest
Quebec,Reading materials and other printed matter,49.0,2017,Lowest
Quebec,Tobacco products and alcoholic beverages (Terminated),1000.0,2017,Lowest
Quebec,Games of chance,100.0,2017,Lowest
Quebec,Miscellaneous expenditures,770.0,2017,Lowest
Ontario,Food expenditures,5345.0,2017,Lowest
Ontario,Shelter,12824.0,2017,Lowest
Ontario,Household operations,2317.0,2017,Lowest
Ontario,Household furnishings and equipment,1072.0,2017,Lowest
Ontario,Clothing and accessories,1719.0,2017,Lowest
Ontario,Private transportation,3685.0,2017,Lowest
Ontario,Public transportation,843.0,2017,Lowest
Ontario,Health care,1158.0,2017,Lowest
Ontario,Personal care,518.0,2017,Lowest
Ontario,Recreation,1375.0,2017,Lowest
Ontario,Education,2385.0,2017,Lowest
Ontario,Reading materials and other printed matter,48.0,2017,Lowest
Ontario,Tobacco products and alcoholic beverages (Terminated),550.0,2017,Lowest
Ontario,Miscellaneous expenditures,784.0,2017,Lowest
